custAge,profession,marital,schooling,default,housing,loan,contact,month,day_of_week,campaign,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,Predicted_Target
38.0,0.0,1.0,6.0,0.0,0.0,2.0,0.0,9.0,4.0,2.0,0.0,-1.1,94.199,-37.5,0.886,4963.6,1.0
35.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,3.0,2.0,2.0,-3.4,92.379,-29.8,0.788,5017.5,1.0
50.0,1.0,1.0,5.0,1.0,2.0,0.0,0.0,6.0,2.0,1.0,0.0,-1.8,92.893,-46.2,1.327,5099.1,0.0
30.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,1.0,1.4,93.444,-36.1,4.964,5228.1,0.0
39.0,7.0,0.0,3.0,0.0,2.0,0.0,0.0,7.0,3.0,1.0,1.0,-0.1,93.2,-42.0,4.153,5195.8,0.0
38.0,8.0,2.0,6.0,0.0,2.0,0.0,0.0,3.0,2.0,1.0,1.0,1.4,93.918,-42.7,4.958,5228.1,0.0
30.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,1.4,93.918,-42.7,4.963,5228.1,0.0
33.0,2.0,1.0,6.0,0.0,0.0,2.0,1.0,4.0,2.0,2.0,1.0,1.4,94.465,-41.8,4.958,5228.1,0.0
28.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,-1.8,93.075,-47.1,1.41,5099.1,0.0
31.0,0.0,2.0,3.0,0.0,2.0,2.0,0.0,3.0,1.0,4.0,1.0,1.4,93.918,-42.7,4.96,5228.1,0.0
38.0,1.0,2.0,5.0,0.0,2.0,0.0,0.0,3.0,2.0,1.0,1.0,1.4,93.918,-42.7,4.962,5228.1,0.0
39.0,9.0,2.0,1.0,1.0,0.0,0.0,1.0,6.0,4.0,1.0,1.0,1.1,93.994,-36.4,4.856,5191.0,0.0
29.0,0.0,1.0,6.0,0.0,0.0,2.0,1.0,4.0,0.0,3.0,1.0,1.4,94.465,-41.8,4.959,5228.1,0.0
42.0,4.0,1.0,6.0,0.0,2.0,2.0,0.0,7.0,2.0,1.0,1.0,-0.1,93.2,-42.0,4.191,5195.8,0.0
52.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.1,93.994,-36.4,4.86,5191.0,0.0
58.0,10.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,6.0,1.0,1.4,93.918,-42.7,4.962,5228.1,0.0
50.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.4,93.444,-36.1,4.965,5228.1,0.0
29.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.8,93.075,-47.1,1.405,5099.1,0.0
47.0,9.0,0.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,5.0,1.0,1.1,93.994,-36.4,4.864,5191.0,0.0
53.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,1.4,94.465,-41.8,4.961,5228.1,0.0
30.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,1.4,93.918,-42.7,4.958,5228.1,0.0
29.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,1.0,1.4,93.918,-42.7,4.962,5228.1,1.0
30.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,1.0,1.1,93.994,-36.4,4.864,5191.0,0.0
38.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,1.4,94.465,-41.8,4.96,5228.1,0.0
29.0,9.0,1.0,5.0,0.0,2.0,0.0,0.0,7.0,3.0,2.0,1.0,-0.1,93.2,-42.0,4.153,5195.8,0.0
38.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,6.0,2.0,1.0,1.0,-1.8,92.893,-46.2,1.25,5099.1,0.0
38.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,1.0,-1.8,93.075,-47.1,1.405,5099.1,0.0
38.0,7.0,2.0,3.0,1.0,2.0,0.0,1.0,6.0,2.0,3.0,1.0,1.1,93.994,-36.4,4.86,5191.0,0.0
38.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,3.0,4.0,1.0,1.0,1.4,93.918,-42.7,4.962,5228.1,0.0
19.0,8.0,2.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,-1.8,93.075,-47.1,1.405,5099.1,0.0
36.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,6.0,0.0,6.0,1.0,1.1,93.994,-36.4,4.864,5191.0,0.0
52.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,7.0,4.0,2.0,0.0,-0.1,93.2,-42.0,4.12,5195.8,0.0
56.0,7.0,1.0,3.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,-0.1,93.2,-42.0,4.191,5195.8,0.0
38.0,1.0,2.0,6.0,0.0,2.0,0.0,0.0,3.0,3.0,3.0,1.0,1.4,93.918,-42.7,4.962,5228.1,0.0
38.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,1.0,-0.1,93.2,-42.0,4.153,5195.8,0.0
38.0,11.0,1.0,7.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,1.4,93.444,-36.1,4.97,5228.1,0.0
